namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
ChatGPT (ONL),osiris,chatgpt,$ORD$ Interstellar Legion,$ORD$ Replicant Brigade,$ORD$ Star Sentinels,$ORD$ Genetic Brigade,$ORD$ Mechanized Legion,$ORD$ Mech Marines,$ORD$ Mech Marines,$ORD$ Mech Marines,$ORD$ Cybernetic Sentinels,$ORD$ Galactic Guardians,$ORD$ Fallout Force,$ORD$ Tribal Warriors,$ORD$ Psi Warriors,$ORD$ Cyber Corps,$ORD$ Robotic Guardians,$ORD$ Robotic Enforcers,$ORD$ Conscript Corps,$ORD$ Necrotic Legion,$ORD$ Xenomorph Swarm,Aelara,Zane,Lyria,Thaddeus,Aethon,Starling,$ORD$ Star Vanguard,,Glaciara,Frostbite,Scorchtar,Naldoria,Duneveil,Edenia,Novaria,Aquatica,Serengeti Prime,Natura Prime,Frigore,Star Phoenix,Interstellar Vanguard,Starfire,Interstellar Odyssey,Stellar Devastator,Starforge,Solar System Shaper,Starfire,Stellar Horizon,Starfire,Helios,Sentinel,Odyssey,Apex,Warp Wanderer,Starfire,Nova Station,Starstrike Ionizer,Celestial Behemoth,Valkyrie,Starhold Omega,Starhaven,Starwarch,Cosmos Explorer,Cosmos Explorer,Interstellar Odyssey,Starfire,Titan's Fury,Colossus,$ORD$ Starlifter,Cosmic Annihilator
,,,,,,,,,,,,,,,,,,,,,,Aria,Kael,Amara,Xanderius,Valtor,Vega,,,Frostfjell,Hailstorm,Dunehaven,Almorax,Scorched Sands,Arcadia,Xenoterra,Maris,Prairieland,Oceania Minor,Glacialus,Cosmic Eclipse,Cosmic Leviathan,Nova Cruiser,Galaxy Explorer,Celestial Annihilator,Cosmic Constructor,Intergalactic Installer,Shadowstreak,Interstellar Voyager,Shadowstreak,Chimera,Bastion,Enterprise,Titan,Planetary Pursuer,Skyrunner,,,Cosmic Colossus,Raven,,,,Starlight Investigator,Starlight Investigator,Galaxy Explorer,Shadowhawk,Leviathan's Wrath,Leviathan,,
,,,,,,,,,,,,,,,,,,,,,,Ashara,Jaxon,Celestia,Maximillian,Celestia,Nova,,,Crystaline Peak,Icicle,Infernoa,Valtara,Vermillion,Euphoria,Icaria,Pelagia,Veldtoria,Edenia Major,Frostbite,Interstellar Titan,Starlight Fury,Interceptor,Cosmic Horizon,Galactic Obliterator,Planetary Producer,Starforge,Nebula Nighthawk,Celestial,Nebula Nighthawk,Excalibur,Guardian,Discovery,Colossus,Stellar Streamer,Nebula,,,Stellar Leviathan,Peregrine,,,,Quantum Explorer,Quantum Explorer,Cosmic Horizon,Thunderbolt,Colossus Vanguard,Behemoth,,
,,,,,,,,,,,,,,,,,,,,,,Atara,Orion,Danika,Arcturus,Starfall,Orion,,,Snowdrift,Snowdrift,Xeross,Galdor,Blazeworld,Celestia,Eudora,Oceanus,Tropisavanna,Tropica III,Snowdrift,Void Voyager,Nebula Hunter,Shadowhawk,Stellar Crusader,Cosmic Conqueror,Solar System Shaper,Stellar Synthesizer,Comet,Galactic Odyssey,Comet,Mammoth,Paladin,Pathfinder,Leviathan,Star Striker,Celestial,,,Galactic Titan,Osprey,,,,Interstellar Voyager,Interstellar Voyager,Stellar Crusader,Eclipse,Behemoth's Might,Goliath,,
,,,,,,,,,,,,,,,,,,,,,,Auria,Tycho,Elara,Galen,Eridani,Galaxy,,,Icehaven,Frozen Waste,Aridos,Eridus,Aridex,Heliosphere,Arcadia,Poseidonis,Grasslands of Galaxia,Palma Nova,Permafrost,Nebula Nova,Celestial Crusade,Thunderbolt,Nebula Pioneer,Interstellar Dominator,Celestial Crafter,Space Station Smithy,Solar Slicer,Nebula Explorer,Solar Slicer,Phoenix,Watchtower,Voyager,Behemoth,Void Voyager,Comet,,,Astral Goliath,Sparrowhawk,,,,Cosmic Researcher,Cosmic Researcher,Nebula Pioneer,Phantom,Goliath's Fury,Ragnarok,,
,,,,,,,,,,,,,,,,,,,,,,Avera,Vance,Freya,Zephyrion,Galaxia,Solaris,,,Mount Zephyr,Glacier,Rustpilgrim,Novaris,Solitude,Starhaven,New Sagan,Thalassia,Felinea,Solaria Borealis,Arcticus,Solar Sovereign,Supernova Sentinel,Blackwing,Black Hole Voyager,,Intergalactic Installer,Astromechanic,Moonshot,Cosmos Explorer,Moonshot,Apocalypse,Defiant,Pioneer,,Galaxy Guide,Galaxy,,,,Harrier,,,,Galactic Discoverer,Galactic Discoverer,Black Hole Voyager,Vindicator,Ragnarok's Hammer,Megalodon,,
,,,,,,,,,,,,,,,,,,,,,,Azura,Jett,Galadriel,Darian,Solaris,Nebula,,,Aurora Crest,Whiteout,Solarrid,Terrox,Emberfall,Novaradia,Aethos,Hydroxis,Acaciadise,Serengeti Alpha,Icebound,Black Hole Barrage,Solar Spear,Sky Guardian,Starlight Explorer,,Terraformer Transport,Sky Scavenger,Star Surfer,Starlight Crusader,Star Surfer,Vindicator,Vigilant,Endeavour,,Eclipse Explorer,Solaris,,,,Falconet,,,,Stellar Seeker,Stellar Seeker,Starlight Explorer,Nova,Nemesis' Fury,Vindicator,,
,,,,,,,,,,,,,,,,,,,,,,Bellara,Landon,Helene,Orion,Nebula,Andromeda,,,Frozen Heights,Crystal World,Thirstfall,Maraxia,Mirage,Terra Nova,Centauria,Neptunia,Hoofvale,Amazonia Majoris,Tundralon,Galactic Gladiator,Black Hole Dominance,Falcon's Nest,Solar Odyssey,,Asteroid Assembler,Universe Upgrader,Velocity Viper,Solar Sailor,Velocity Viper,Titan,Citadel,New Horizons,,Nebula Nomad,Nova,,,,Kestrel,,,,Nebula Investigator,Nebula Investigator,Solar Odyssey,Titan,Apocalypse's Justice,Nemesis,,
,,,,,,,,,,,,,,,,,,,,,,Brielle,Nova,Iliana,Lucian,Nova,Quasar,,,Whitecrown,Arctic Blaze,Blazewind,Zorin,Heatwave,New Eden,Hyperion,Nautilus,Thicketopia,Acacia Prime,Shivera,Hypernova Horizon,Galactic Glory,Phoenix Carrier,Andromeda Venture,,Orbital Organizer,Galactic Generator,Lunar Legionnaire,Cosmic Hunter,Lunar Legionnaire,Nemesis,Overwatch,Apollo,,Planetary Pioneer,Astro,,,,Vulture,,,,Planetary Surveyor,Planetary Surveyor,Andromeda Venture,Havoc,Thunderchild,Juggernaut,,
,,,,,,,,,,,,,,,,,,,,,,Calantha,Phoenix,Jocasta,Cassius,Orionis,Cygnus,,,Alpine Star,Icebound,Drytopia,Veridia,Sandstorm,Aquatica,Heliosphere,Tritonos,Grassglade,Copacabana Sigma,Wintermist,Celestial Conquest,Hypernova Hammer,Starflight,Nova Explorer,,Stellar Synthesizer,Cosmic Carpenter,Galaxy Glide,Astral Adventurer,Galaxy Glide,Hydra,Protector,Magellan,,Galaxy Guardian,Stellar,,,,Condor,,,,Space-time Explorer,Space-time Explorer,Nova Explorer,Ragnarok,Eclipse's Shadow,Hammer of War,,
